reporting_month,reporting_airport,airline_name,scheduled_charter,origin_country,total_flights,average_delay_mins,pct_delayed_15plus,cancellation_rate,bad_events_rate,cancelled
2020-09-01,GATWICK,EASYJET,Scheduled,SPAIN,0,0.0,0.0,,,
2020-12-01,GATWICK,EASYJET,Scheduled,FINLAND,0,0.0,0.0,,,
2021-07-01,BELFAST INTERNATIONAL,EASYJET,Scheduled,SPAIN,0,0.0,0.0,,,
2023-02-01,DONCASTER SHEFFIELD,WIZZ AIR,Scheduled,FRANCE,0,0.0,0.0,,,
2024-04-01,GATWICK,BADR AIRLINES,Scheduled,SUDAN,0,0.0,0.0,,,
2020-01-01,GLASGOW,TUI AIRWAYS LTD,Charter,AUSTRIA,0,0.0,0.0,,,
2020-05-01,BELFAST INTERNATIONAL,TUI AIRWAYS LTD,Charter,CANADA,0,0.0,0.0,,,
2025-04-01,GLASGOW,WIZZ AIR,Scheduled,ROMANIA,0,0.0,0.0,,,
2020-11-01,GLASGOW,AER LINGUS,Scheduled,IRISH REPUBLIC,0,0.0,0.0,,,
2020-11-01,ISLE OF MAN,EASYJET,Scheduled,UNITED KINGDOM,0,0.0,0.0,,,
2023-07-01,HEATHROW,BAMBOO AIRWAYS,Scheduled,VIETNAM,0,0.0,0.0,,,
2023-07-01,NEWCASTLE,EASTERN AIRWAYS,Scheduled,UNITED KINGDOM,0,0.0,0.0,,,
2020-01-01,NEWCASTLE,EASTERN AIRWAYS,Charter,UNITED KINGDOM,0,0.0,0.0,,,
2020-05-01,GATWICK,EASYJET,Scheduled,POLAND,0,0.0,0.0,,,
2023-10-01,GLASGOW,ETF AIRWAYS,Charter,GERMANY,0,0.0,0.0,,,
2025-02-01,EDINBURGH,RYANAIR,Charter,FRANCE,0,0.0,0.0,,,
2025-09-01,EDINBURGH,RYANAIR,Scheduled,LATVIA,0,0.0,0.0,,,
2020-07-01,LONDON CITY,FLYBE LTD,Scheduled,NETHERLANDS,0,0.0,0.0,,,
2020-10-01,CARDIFF WALES,FLYBE LTD,Scheduled,UNITED KINGDOM,0,0.0,0.0,,,
2021-12-01,MANCHESTER,JET2.COM LTD,Scheduled,UNITED KINGDOM,0,0.0,0.0,,,
2023-10-01,SOUTHAMPTON,BRITISH AIRWAYS,Scheduled,SPAIN,0,0.0,0.0,,,
2024-01-01,EDINBURGH,RYANAIR,Scheduled,ITALY,0,0.0,0.0,,,
2020-09-01,BELFAST CITY (GEORGE BEST),FLYBE LTD,Scheduled,UNITED KINGDOM,0,0.0,0.0,,,
2021-08-01,NEWCASTLE,JET2.COM LTD,Scheduled,ITALY,0,0.0,0.0,,,
2022-06-01,LUTON,WIZZ AIR,Scheduled,UKRAINE,0,0.0,0.0,,,
2022-10-01,LUTON,MNG AIRLINES,Scheduled,TURKEY,0,0.0,0.0,,,
2020-04-01,BRISTOL,RYANAIR,Scheduled,POLAND,0,0.0,0.0,,,
2020-08-01,BIRMINGHAM,TUI AIRWAYS LTD,Charter,JAMAICA,0,0.0,0.0,,,
2021-03-01,LUTON,WIZZ AIR,Scheduled,UNITED KINGDOM,0,0.0,0.0,,,
2022-11-01,LUTON,WIZZ AIR,Scheduled,ITALY,0,0.0,0.0,,,
2023-08-01,NEWCASTLE,AIR HORIZONT,Charter,SPAIN,0,0.0,0.0,,,
2021-03-01,HEATHROW,BRITISH AIRWAYS,Scheduled,AUSTRALIA,0,0.0,0.0,,,
2020-08-01,GATWICK,TUI AIRWAYS LTD,Scheduled,SPAIN(CANARY ISLANDS),0,0.0,0.0,,,
2020-07-01,STANSTED,EASYJET,Scheduled,SLOVENIA,0,0.0,0.0,,,
2022-05-01,NEWCASTLE,EASTERN AIRWAYS,Charter,UNITED KINGDOM,0,0.0,0.0,,,
2023-03-01,HEATHROW,BRITISH AIRWAYS,Scheduled,ST LUCIA,0,0.0,0.0,,,
2020-06-01,MANCHESTER,EASYJET,Scheduled,GREECE,0,0.0,0.0,,,
2020-08-01,MANCHESTER,TUI AIRWAYS LTD,Charter,ITALY,0,0.0,0.0,,,
2021-04-01,HEATHROW,BRITISH AIRWAYS,Scheduled,FRANCE,0,0.0,0.0,,,
2024-05-01,EDINBURGH,WIZZ AIR,Scheduled,ROMANIA,0,0.0,0.0,,,
2020-06-01,MANCHESTER,RYANAIR,Scheduled,POLAND,0,0.0,0.0,,,
